0,1594,1,0,0
4,1588,5,1,0
5,1585,4,0,1
6,1585,5,0,1
6,1588,7,1,0
7,1588,8,1,0
8,1585,7,0,1
8,1588,9,1,0
8,1589,7,0,1
12,1594,11,0,1
13,1587,14,1,0
15,1588,1588,4,0
16,1588,15,0,1
16,1589,15,0,1
16,1592,17,1,0
17,1585,18,1,0
17,1588,16,0,1
18,1585,19,1,0
18,1589,19,1,0
19,1585,1585,4,0
22,1594,23,1,1
28,1588,6,0,2
29,1588,7,0,2
30,1588,8,0,2
30,1589,29,1,2
34,1594,33,1,2
36,1587,37,2,1
37,1588,15,0,2
38,1588,16,0,2
38,1589,37,1,2
39,1588,17,0,2
40,1589,41,2,1
44,1594,45,1,1
52,1589,51,1,2
56,1594,55,1,2
58,1587,59,2,1
60,1589,59,1,2
61,1592,39,0,3
62,1589,63,2,1
66,1594,67,1,1
71,1585,49,0,3
72,1585,50,0,3
74,1589,73,1,2
78,1594,77,1,2
81,1587,82,2,1
82,1589,81,1,2
84,1589,85,2,1
85,1585,63,0,3
88,1594,89,1,1
96,1587,118,3,0
96,1589,95,1,2
100,1594,99,1,2
104,1589,103,1,2
105,1585,106,2,1
106,1585,1585,4,0
106,1589,107,2,1
106,1592,84,0,3
107,1585,106,1,2
109,1593,87,0,3
110,1594,111,1,1
115,1585,114,1,2
116,1585,115,1,2
117,1585,118,2,1
118,1589,117,1,2
122,1594,121,1,2
126,1587,127,2,1
126,1589,125,1,2
127,1585,149,3,0
128,1589,129,2,1
129,1585,128,1,2
129,1592,107,0,3
132,1593,110,0,2
132,1594,133,1,1
139,1585,140,2,1
140,1589,139,1,2
144,1594,143,1,2
148,1589,147,1,2
149,1585,171,3,0
150,1589,151,2,1
151,1592,129,0,3
154,1594,155,1,1
155,1593,156,2,1
160,1585,182,3,0
162,1589,161,1,2
166,1594,165,1,2
167,1594,166,1,2
168,1594,167,1,2
169,1594,168,1,2
170,1589,169,1,2
170,1594,169,1,2
171,1585,1585,4,0
171,1587,149,0,3
171,1594,170,1,2
172,1585,194,3,0
172,1589,173,2,1
174,1592,152,0,3
176,1594,177,1,1
177,1593,178,2,1
179,1592,180,2,1
182,1594,183,2,1
183,1594,184,2,1
184,1589,183,1,2
184,1594,185,2,1
185,1594,186,2,1
186,1594,187,2,1
187,1594,1594,4,0
188,1594,187,1,2
192,1589,191,1,2
193,1585,171,0,3
194,1589,195,2,1
198,1594,199,1,1
199,1593,200,2,1
206,1589,205,1,2
210,1594,209,1,2
211,1594,210,1,2
212,1594,211,1,2
213,1594,212,1,2
214,1589,213,1,2
214,1594,213,1,2
215,1594,214,1,2
216,1587,194,0,3
216,1589,217,2,1
219,1592,197,0,3
220,1592,241,3,2
220,1594,221,1,1
221,1593,222,2,1
226,1585,227,2,1
226,1594,227,2,1
227,1594,228,2,1
228,1589,227,1,2
228,1594,229,2,1
229,1594,230,2,1
230,1594,231,2,1
231,1594,1594,4,0
232,1594,231,1,2
233,1594,232,1,2
234,1594,233,1,2
235,1594,234,1,2
236,1589,235,1,2
236,1594,235,1,2
237,1594,236,1,2
238,1585,237,1,2
238,1589,239,2,1
239,1587,217,0,3
242,1594,243,1,1
243,1593,244,2,1
248,1585,270,3,0
249,1585,271,3,0
250,1589,249,1,2
254,1594,253,1,2
258,1585,280,3,0
258,1589,257,1,2
260,1589,261,2,1
264,1594,265,1,1
265,1593,266,2,1
272,1589,271,1,2
276,1594,275,1,2
280,1589,279,1,2
282,1589,283,2,1
284,1587,262,0,3
286,1594,287,1,1
287,1593,288,2,1
294,1589,293,1,2
295,1591,317,3,0
298,1594,297,1,2
299,1593,298,1,2
300,1593,299,1,2
301,1591,323,3,0
301,1593,300,1,2
302,1589,301,1,2
302,1591,324,3,0
302,1593,301,1,2
303,1585,281,0,3
303,1591,325,3,0
303,1593,302,1,2
304,1589,305,2,1
307,1587,285,0,3
308,1594,309,1,1
309,1593,310,2,1
312,1590,334,3,0
314,1585,315,2,1
314,1593,315,2,1
315,1585,316,2,1
315,1593,316,2,1
316,1589,315,1,2
316,1593,317,2,1
317,1593,318,2,1
318,1593,319,2,1
319,1593,320,2,1
320,1593,1593,4,0
320,1594,319,1,2
321,1593,320,1,2
324,1585,1585,4,0
324,1589,323,1,2
325,1585,303,0,3
326,1589,327,2,1
329,1587,307,0,3
330,1586,352,2,0
330,1587,308,0,2
330,1594,331,1,1
331,1593,332,2,1
335,1585,336,2,1
336,1584,358,3,0
337,1584,359,3,0
338,1589,337,1,2
339,1591,317,0,3
342,1594,341,1,2
343,1593,342,1,2
344,1593,343,1,2
345,1591,323,0,3
345,1593,344,1,2
346,1589,345,1,2
346,1591,324,0,3
346,1593,345,1,2
347,1585,346,1,2
347,1591,325,0,3
347,1593,346,1,2
348,1589,349,2,1
352,1594,353,1,1
353,1587,354,2,1
353,1593,354,2,1
356,1590,378,3,0
357,1585,358,2,1
358,1584,380,3,0
358,1591,359,2,1
359,1584,381,3,0
359,1591,360,2,1
360,1584,382,3,0
360,1589,359,1,2
360,1591,1591,4,0
361,1584,383,3,0
361,1591,339,0,3
364,1594,363,1,2
367,1591,345,0,3
368,1589,367,1,2
368,1591,346,0,3
369,1585,368,1,2
369,1591,347,0,3
