27,1595,5,0,2
28,1595,50,3,0
29,1595,7,0,2
31,1595,53,3,0
32,1595,10,0,2
36,1595,14,0,2
37,1595,15,0,2
94,1586,116,3,0
102,1586,80,0,3
103,1586,81,0,3
159,1584,137,0,3
160,1584,138,0,3
163,1584,141,0,3
166,1584,144,0,3
167,1584,145,0,3
168,1584,146,0,3
169,1584,147,0,3
170,1584,192,3,0
291,1593,269,0,3
292,1593,270,0,3
293,1593,315,3,0
296,1593,274,0,3
298,1593,276,0,3
299,1593,277,0,3
301,1593,279,0,3
302,1593,324,3,0
444,1590,422,0,3
456,1590,478,3,0
457,1590,479,3,0
490,1587,468,0,3
491,1587,513,3,0
492,1587,514,3,0
493,1587,471,0,3
494,1587,472,0,3
495,1587,517,3,0
496,1587,474,0,3
497,1587,475,0,3
498,1587,520,3,0
499,1587,477,0,3
500,1587,522,3,0
664,1588,686,3,0
665,1588,687,3,0
676,1588,698,3,0
677,1588,699,3,0
886,1585,864,0,3
903,1594,925,3,0
906,1594,928,3,0
907,1594,929,3,0
921,1594,899,0,3
922,1594,944,3,0
1167,1592,1145,0,3
1170,1592,1192,3,0
1182,1592,1160,0,3
1183,1592,1161,0,3
1185,1592,1163,0,3
1186,1592,1208,3,0
1314,1589,1292,0,3
1545,1591,1523,0,3
1546,1591,1568,3,0
1547,1591,1525,0,3
1555,1591,1533,0,3
