0,Sao-Paulo,-23.559350,-46.557583,0.000000,4022349.127400,-4247212.147022,-2533622.013635
1,P1,51.813583,27.431797,0.000000,3507000.260930,1820326.168693,4990005.505462
2,San-Jose,9.934261,-84.079025,0.000000,648146.726085,-6249609.639071,1093086.786390
3,P2,-1.514283,14.613158,0.000000,6169669.370752,1608591.627226,-167421.636283
4,Montreal,45.501886,-73.567392,0.000000,1266762.946327,-4295064.891561,4526614.923055
5,P3,-53.788989,-73.571008,0.000000,1068007.596484,-3622010.993089,-5122902.657005
6,Victoria,48.421769,-123.362389,0.000000,-2332126.053466,-3541911.819940,4748127.650869
7,P4,-39.989778,-72.517383,0.000000,1470068.430097,-4667398.612053,-4077114.957856
8,P1h,9.175754,-8.619039,0.000000,6225940.383279,-943701.207835,1010356.718689
9,P2h,6.437951,-34.189382,0.000000,5242845.997335,-3561614.271454,710404.453522
10,P3h,-4.326378,-73.571008,0.000000,1798801.771061,-6100405.849750,-477940.649654
11,P4h,4.783696,-96.041897,0.000000,-669011.971573,-6320758.841000,528351.573128
